Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
22.062372,40.897095,108.20826,0.9239708,2020-01-01T16:30:30
41.926308,40.6764,201.41527,1.7450762,2020-01-01T20:21:53
13.293093,35.870724,87.588455,0.47876194,2020-01-02T17:24:09
4.8098717,36.58413,31.004637,0.17723487,2020-01-02T19:45:08
17.29493,35.001637,104.095566,0.60535556,2020-01-04T17:05:46
10.902557,38.461838,51.66313,0.42562282,2020-01-04T22:46:19
18.25474,35.28896,115.162415,0.6450699,2020-01-07T23:36:09
43.24937,40.241486,269.2879,1.7782006,2020-01-09T19:27:11
48.657036,37.864292,267.32706,1.8655921,2020-01-10T20:51:05
32.69808,37.41641,200.31474,1.2366133,2020-01-11T06:25:59
55.580982,39.54736,265.23605,2.2402053,2020-01-11T18:28:44
20.438986,35.131397,112.09198,0.71849763,2020-01-13T18:42:43
30.789495,36.525814,202.2046,1.1324412,2020-01-13T19:53:26
34.447784,40.691223,189.91194,1.4343975,2020-01-13T20:06:34
16.927902,39.69401,90.881805,0.6851796,2020-01-15T13:39:52
5.4458632,38.923397,33.367546,0.21553254,2020-01-18T21:30:13
10.9220915,39.63407,51.001244,0.44132257,2020-01-19T20:50:20
27.645079,36.631683,183.1597,1.0202037,2020-01-19T22:00:53
48.662575,40.46231,267.67334,2.0133018,2020-01-20T09:53:19
11.173998,37.829205,57.54914,0.42797238,2020-01-20T20:07:51
29.924448,39.871258,170.13385,1.2174202,2020-01-21T15:57:10
14.106144,40.3863,90.71933,0.5823582,2020-01-21T21:39:57
44.57674,39.859955,242.05563,1.8129336,2020-01-22T07:20:20
9.465449,39.50104,61.92245,0.3809958,2020-01-22T23:14:22
7.3391614,38.175556,35.014656,0.28406087,2020-01-23T07:15:09
47.886414,35.39056,222.2484,1.6978439,2020-01-24T12:45:08
23.273838,36.438595,148.93073,0.85364616,2020-01-25T14:38:42
27.177046,39.01643,158.88045,1.0785437,2020-01-27T03:20:06
14.866874,37.069016,74.76113,0.556227,2020-01-27T19:02:21
41.59708,39.046448,197.40834,1.6522716,2020-01-28T18:23:23
48.78423,35.67199,296.69662,1.7456942,2020-01-28T20:26:54
51.96017,37.362755,250.15189,1.9618366,2020-01-29T22:10:51
16.75496,35.690254,100.81167,0.5999162,2020-01-30T06:54:21
62.532772,36.56927,292.41428,2.3031328,2020-01-30T15:25:31
50.123688,40.841263,244.21312,2.0959122,2020-01-31T17:19:00
10.189606,39.926086,61.559933,0.41519687,2020-01-31T21:23:19
8.025266,37.3811,38.5067,0.3125409,2020-02-01T11:14:09
41.14543,40.390152,255.47424,1.7468364,2020-02-02T22:04:31
25.04209,36.1495,159.50705,0.93927246,2020-02-03T08:08:43
31.576992,38.189114,173.65875,1.2595209,2020-02-05T21:20:53
35.812656,37.228653,201.37201,1.3883407,2020-02-06T04:42:12
27.665703,35.202927,173.24287,1.007126,2020-02-07T01:05:20
13.536606,36.452057,79.7699,0.51250577,2020-02-09T10:57:45
25.591333,38.435375,148.0503,1.0281217,2020-02-10T12:28:08
31.590818,40.858246,166.96353,1.3584458,2020-02-11T18:00:40
52.701847,39.41308,260.99963,2.1773903,2020-02-12T08:52:56
13.791786,40.60658,90.08037,0.58901507,2020-02-12T17:56:21
42.724,36.129642,236.4319,1.6014912,2020-02-12T21:57:54
15.002082,35.70799,80.39191,0.55496675,2020-02-13T10:50:05
40.108265,35.74899,201.03522,1.4856296,2020-02-14T13:11:37
44.615406,36.79345,247.87833,1.7069417,2020-02-15T05:14:20
18.386457,37.969517,97.8406,0.72867554,2020-02-16T07:18:51
50.387535,37.579704,262.86847,1.9739982,2020-02-16T12:09:29
55.160126,39.811954,296.9468,2.3046238,2020-02-18T05:33:18
26.332508,37.51822,160.53943,1.0297219,2020-02-18T21:07:33
38.048832,37.529343,201.27702,1.4883777,2020-02-19T19:09:35
42.20255,37.714634,263.26843,1.659984,2020-02-19T20:42:07
48.227303,36.635677,237.00006,1.8362523,2020-02-20T20:46:13
61.57189,36.19143,290.58145,2.312435,2020-02-20T21:19:11
32.724644,35.734726,159.9341,1.2115922,2020-02-21T12:53:59
42.29754,39.73288,227.82716,1.7633151,2020-02-21T19:05:53
32.3052,35.275993,201.57806,1.1787733,2020-02-21T20:28:34
60.75191,40.600304,290.51385,2.5941281,2020-02-21T21:41:51
9.210266,37.215004,48.775772,0.35690552,2020-02-21T23:45:44
45.431526,39.177704,230.15135,1.8645395,2020-02-22T07:05:06
53.808643,40.43085,263.6804,2.2870104,2020-02-22T16:08:03
24.438768,39.764977,147.0494,1.0197272,2020-02-22T18:32:18
26.310194,40.024063,134.84027,1.1057667,2020-02-22T22:54:38
18.375614,35.03155,111.650635,0.6652611,2020-02-23T01:36:53
34.446934,40.583397,212.05809,1.4702168,2020-02-23T02:37:42
37.116154,36.732098,222.75708,1.417371,2020-02-23T08:20:23
39.27055,38.11605,215.86668,1.5630486,2020-02-24T09:43:49
17.06445,36.291462,82.428055,0.6428753,2020-02-24T16:26:08
14.544738,39.084167,74.86226,0.59533834,2020-02-25T01:37:06
31.34989,35.785305,167.15608,1.1625434,2020-02-25T02:58:34
16.705326,36.838715,88.11435,0.64001167,2020-02-25T06:00:54
40.79331,35.71697,193.12054,1.5094801,2020-02-25T22:11:51
27.473473,39.63018,141.7203,1.1420321,2020-02-26T11:04:33
16.578188,37.68835,106.436874,0.6515738,2020-02-26T13:46:25
8.030683,37.28013,38.87208,0.3118058,2020-02-26T18:37:36
23.814344,35.432728,128.47748,0.87330806,2020-02-27T06:37:32
29.475227,36.073982,167.80457,1.1029526,2020-02-28T07:09:54
35.736584,37.757004,186.2295,1.4074199,2020-02-28T23:51:37
42.00252,37.551685,233.70677,1.6441313,2020-02-29T10:34:20
9.160956,38.799114,45.441704,0.37192532,2020-02-29T11:57:55
44.716637,38.25208,270.32953,1.7869105,2020-03-01T09:57:37
40.419548,36.382465,209.56879,1.527032,2020-03-02T01:11:12
36.50264,35.737343,179.29979,1.3515795,2020-03-02T14:04:46
27.812695,35.16863,142.84375,1.0113641,2020-03-02T21:56:31
8.176978,39.3601,40.96015,0.33732855,2020-03-03T08:48:43
15.533424,36.446697,101.38478,0.58800966,2020-03-03T13:48:39
51.44884,40.759872,281.35858,2.2064617,2020-03-03T16:19:39
40.671444,40.71557,257.43213,1.7421542,2020-03-03T19:23:50
51.627037,39.467117,288.01828,2.136239,2020-03-04T19:57:57
13.917429,36.175488,85.73924,0.52243334,2020-03-05T13:01:57
6.9678893,35.726337,46.17591,0.25790986,2020-03-05T17:12:21
33.68964,40.993683,218.23575,1.454021,2020-03-05T23:12:46
43.80613,35.09457,238.36801,1.5891548,2020-03-06T01:35:07
41.864265,36.6037,201.64589,1.5924182,2020-03-06T04:58:49
21.351345,39.79313,105.59401,0.89160335,2020-03-07T08:41:26
9.104498,38.196095,48.691093,0.36322793,2020-03-07T22:22:00
23.31716,36.591286,134.41415,0.8865922,2020-03-08T07:12:19
27.891901,38.790752,132.69263,1.1321102,2020-03-08T09:24:46
31.595064,36.865646,188.50655,1.2114575,2020-03-08T16:36:54
6.913051,36.511696,36.784466,0.26221418,2020-03-08T20:49:42
40.288757,38.870445,202.82208,1.6390345,2020-03-08T21:19:47
18.445963,37.076134,105.54791,0.7118079,2020-03-09T08:02:21
40.19673,35.52429,263.5323,1.4783689,2020-03-09T21:23:01
46.004944,39.560017,220.10783,1.9085926,2020-03-10T09:07:37
50.528442,37.20341,234.24084,1.9573361,2020-03-10T20:10:01
27.174559,38.14584,135.53564,1.0825478,2020-03-11T19:13:01
21.203146,40.943226,116.98468,0.9138647,2020-03-12T11:05:17
36.77648,35.85754,194.51332,1.3668762,2020-03-12T19:06:40
45.450356,36.916325,229.32135,1.7454016,2020-03-12T21:49:47
9.299921,36.38001,55.94947,0.3513201,2020-03-13T07:32:19
15.454448,39.385994,86.16446,0.6380161,2020-03-13T20:02:54
7.7807417,38.640434,45.492302,0.31444967,2020-03-13T20:33:36
53.996197,37.53302,252.32396,2.1124313,2020-03-15T10:33:59
40.331467,38.9733,246.05035,1.6456119,2020-03-15T12:17:24
39.57532,37.149906,199.05194,1.5305711,2020-03-16T21:21:21
18.008118,35.663177,85.08563,0.6652266,2020-03-17T05:14:20
21.0142,38.99897,114.873924,0.8580545,2020-03-17T13:55:50
36.994083,40.70273,226.32956,1.5840809,2020-03-17T18:26:31
24.392916,36.58371,152.65544,0.92728025,2020-03-17T18:39:44
42.926666,36.78028,284.54303,1.6416727,2020-03-17T21:21:50
47.66649,36.553314,282.9386,1.8103192,2020-03-18T05:25:26
29.853514,39.170456,195.26767,1.2249552,2020-03-19T16:29:14
18.85153,36.52355,121.27592,0.71530503,2020-03-20T20:02:40
22.683073,39.048817,142.87991,0.92751735,2020-03-20T21:14:06
20.579756,35.32918,121.376465,0.75220466,2020-03-20T22:56:26
46.50746,35.742043,295.50516,1.722282,2020-03-21T20:18:47
9.013703,37.695095,52.12137,0.35433716,2020-03-22T18:22:45
30.098469,37.097725,141.00415,1.1622226,2020-03-22T22:42:32
7.106032,38.182083,36.80046,0.28338212,2020-03-23T08:44:01
27.127357,39.864155,140.42354,1.1350497,2020-03-23T17:34:03
13.355021,39.226246,77.221634,0.5488551,2020-03-23T17:56:05
11.860219,40.714203,64.76726,0.5080115,2020-03-24T21:57:22
12.02091,37.444572,60.579823,0.4690399,2020-03-25T08:58:42
29.076323,37.906933,154.51797,1.1502037,2020-03-25T11:49:18
45.357807,39.126225,233.32487,1.8587899,2020-03-25T12:21:49
31.942339,35.745186,179.453,1.183018,2020-03-27T16:34:20
30.679314,38.11749,200.40047,1.2211514,2020-03-27T20:16:48
20.578426,38.31399,99.67616,0.82381594,2020-03-27T23:49:17
39.085793,40.40913,180.99599,1.6602596,2020-03-28T06:20:51
37.931873,36.54039,206.87929,1.4400376,2020-03-28T06:33:34
39.140263,37.01263,220.7451,1.5074768,2020-03-29T19:46:45
45.355743,37.78167,234.36882,1.7875581,2020-03-29T21:09:16
17.081612,40.157024,90.54794,0.7205569,2020-03-30T05:12:55
50.19946,39.558483,240.64836,2.0825193,2020-03-30T07:23:14
38.5053,40.775517,227.58107,1.6520609,2020-03-30T10:07:22
12.482732,40.080776,58.768333,0.52545106,2020-03-30T18:00:07
